Load,Node,X,Y,Z,FX,FY,FZ,MX,MY,MZ
SW,1,0.0,0,0,0.0,0.13264,41.93362,0.0,0.0,0.0
SW,4,240.0,0,0,0.0,0.0,58.00297,0.0,0.0,0.0
SW,64,240.0,32,0,0.0,0.0,58.00297,0.0,0.0,0.0
SW,74,0.0,32,0,0.0,-0.13264,41.93362,0.0,0.0,0.0
2,1,0.0,0,0,0.0,0.13039,620.00074,0.0,0.0,0.0
2,4,240.0,0,0,0.0,0.0,180.00007,0.0,0.0,0.0
2,64,240.0,32,0,0.0,0.0,180.00007,0.0,0.0,0.0
2,74,0.0,32,0,0.0,-0.13039,620.00074,0.0,0.0,0.0
2C,1,0.0,0,0,0.0,0.12364,588.12507,0.0,0.0,0.0
2C,4,240.0,0,0,0.0,0.0,661.87591,0.0,0.0,0.0
2C,64,240.0,32,0,0.0,0.0,661.87591,0.0,0.0,0.0
2C,74,0.0,32,0,0.0,-0.12364,588.12507,0.0,0.0,0.0
3,1,0.0,0,0,0.0,0.10566,559.99922,0.0,0.0,0.0
3,4,240.0,0,0,0.0,0.0,239.99934,0.0,0.0,0.0
3,64,240.0,32,0,0.0,0.0,239.99934,0.0,0.0,0.0
3,74,0.0,32,0,0.0,-0.10566,559.99922,0.0,0.0,0.0
3C,1,0.0,0,0,0.0,0.10116,528.1258,0.0,0.0,0.0
3C,4,240.0,0,0,0.0,0.0,721.87519,0.0,0.0,0.0
3C,64,240.0,32,0,0.0,0.0,721.87519,0.0,0.0,0.0
3C,74,0.0,32,0,0.0,-0.10116,528.1258,0.0,0.0,0.0
4,1,0.0,0,0,0.0,0.10341,520.0012,0.0,0.0,0.0
4,4,240.0,0,0,0.0,0.0,279.99961,0.0,0.0,0.0
4,64,240.0,32,0,0.0,0.0,279.99961,0.0,0.0,0.0
4,74,0.0,32,0,0.0,-0.10341,520.0012,0.0,0.0,0.0
4C,1,0.0,0,0,0.0,0.09667,488.12553,0.0,0.0,0.0
4C,4,240.0,0,0,0.0,0.0,761.87545,0.0,0.0,0.0
4C,64,240.0,32,0,0.0,0.0,761.87545,0.0,0.0,0.0
4C,74,0.0,32,0,0.0,-0.09667,488.12553,0.0,0.0,0.0
5,1,0.0,0,0,0.0,0.09667,480.00094,0.0,0.0,0.0
5,4,240.0,0,0,0.0,0.0,319.99987,0.0,0.0,0.0
5,64,240.0,32,0,0.0,0.0,319.99987,0.0,0.0,0.0
5,74,0.0,32,0,0.0,-0.09667,480.00094,0.0,0.0,0.0
5C,1,0.0,0,0,0.0,0.08992,448.12527,0.0,0.0,0.0
5C,4,240.0,0,0,0.0,0.0,801.87572,0.0,0.0,0.0
5C,64,240.0,32,0,0.0,0.0,801.87572,0.0,0.0,0.0
5C,74,0.0,32,0,0.0,-0.08992,448.12527,0.0,0.0,0.0
6,1,0.0,0,0,0.0,0.08543,440.00067,0.0,0.0,0.0
6,4,240.0,0,0,0.0,0.0,360.00014,0.0,0.0,0.0
6,64,240.0,32,0,0.0,0.0,360.00014,0.0,0.0,0.0
6,74,0.0,32,0,0.0,-0.08543,440.00067,0.0,0.0,0.0
6C,1,0.0,0,0,0.0,0.07868,408.125,0.0,0.0,0.0
6C,4,240.0,0,0,0.0,0.0,841.87598,0.0,0.0,0.0
6C,64,240.0,32,0,0.0,0.0,841.87598,0.0,0.0,0.0
6C,74,0.0,32,0,0.0,-0.07868,408.125,0.0,0.0,0.0
7,1,0.0,0,0,0.0,0.07868,400.00041,0.0,0.0,0.0
7,4,240.0,0,0,0.0,0.0,400.00041,0.0,0.0,0.0
7,64,240.0,32,0,0.0,0.0,400.00041,0.0,0.0,0.0
7,74,0.0,32,0,0.0,-0.07868,400.00041,0.0,0.0,0.0
7C,1,0.0,0,0,0.0,0.07194,368.12474,0.0,0.0,0.0
7C,4,240.0,0,0,0.0,0.0,881.87625,0.0,0.0,0.0
7C,64,240.0,32,0,0.0,0.0,881.87625,0.0,0.0,0.0
7C,74,0.0,32,0,0.0,-0.07194,368.12474,0.0,0.0,0.0
8,1,0.0,0,0,0.0,0.07419,379.99915,0.0,0.0,0.0
8,4,240.0,0,0,0.0,0.0,419.99941,0.0,0.0,0.0
8,64,240.0,32,0,0.0,0.0,419.99941,0.0,0.0,0.0
8,74,0.0,32,0,0.0,-0.07419,379.99915,0.0,0.0,0.0
8C,1,0.0,0,0,0.0,0.06969,348.12573,0.0,0.0,0.0
8C,4,240.0,0,0,0.0,0.0,901.87526,0.0,0.0,0.0
8C,64,240.0,32,0,0.0,0.0,901.87526,0.0,0.0,0.0
8C,74,0.0,32,0,0.0,-0.06969,348.12573,0.0,0.0,0.0
9,1,0.0,0,0,0.0,0.07194,360.00014,0.0,0.0,0.0
9,4,240.0,0,0,0.0,0.0,440.00067,0.0,0.0,0.0
9,64,240.0,32,0,0.0,0.0,440.00067,0.0,0.0,0.0
9,74,0.0,32,0,0.0,-0.07194,360.00014,0.0,0.0,0.0
9C,1,0.0,0,0,0.0,0.06519,328.12447,0.0,0.0,0.0
9C,4,240.0,0,0,0.0,0.0,921.87651,0.0,0.0,0.0
9C,64,240.0,32,0,0.0,0.0,921.87651,0.0,0.0,0.0
9C,74,0.0,32,0,0.0,-0.06519,328.12447,0.0,0.0,0.0
10,1,0.0,0,0,0.0,0.06744,340.00113,0.0,0.0,0.0
10,4,240.0,0,0,0.0,0.0,459.99968,0.0,0.0,0.0
10,64,240.0,32,0,0.0,0.0,459.99968,0.0,0.0,0.0
10,74,0.0,32,0,0.0,-0.06744,340.00113,0.0,0.0,0.0
10C,1,0.0,0,0,0.0,0.0607,308.12546,0.0,0.0,0.0
10C,4,240.0,0,0,0.0,0.0,941.87552,0.0,0.0,0.0
10C,64,240.0,32,0,0.0,0.0,941.87552,0.0,0.0,0.0
10C,74,0.0,32,0,0.0,-0.0607,308.12546,0.0,0.0,0.0
11,1,0.0,0,0,0.0,0.05845,300.00087,0.0,0.0,0.0
11,4,240.0,0,0,0.0,0.0,499.99994,0.0,0.0,0.0
11,64,240.0,32,0,0.0,0.0,499.99994,0.0,0.0,0.0
11,74,0.0,32,0,0.0,-0.05845,300.00087,0.0,0.0,0.0
11C,1,0.0,0,0,0.0,0.05171,268.1252,0.0,0.0,0.0
11C,4,240.0,0,0,0.0,0.0,981.87579,0.0,0.0,0.0
11C,64,240.0,32,0,0.0,0.0,981.87579,0.0,0.0,0.0
11C,74,0.0,32,0,0.0,-0.05171,268.1252,0.0,0.0,0.0
12,1,0.0,0,0,0.0,0.05171,260.0006,0.0,0.0,0.0
12,4,240.0,0,0,0.0,0.0,540.00021,0.0,0.0,0.0
12,64,240.0,32,0,0.0,0.0,540.00021,0.0,0.0,0.0
12,74,0.0,32,0,0.0,-0.05171,260.0006,0.0,0.0,0.0
12C,1,0.0,0,0,0.0,0.04496,228.12493,0.0,0.0,0.0
12C,4,240.0,0,0,0.0,0.0,1021.87605,0.0,0.0,0.0
12C,64,240.0,32,0,0.0,0.0,1021.87605,0.0,0.0,0.0
12C,74,0.0,32,0,0.0,-0.04496,228.12493,0.0,0.0,0.0
LS,1,0.0,0,0,187.4997,25.06396,55.81333,0.0,0.0,0.0
LS,4,240.0,0,0,0.0,0.0,-15.1881,0.0,0.0,0.0
LS,64,240.0,32,0,0.0,0.0,15.1881,0.0,0.0,0.0
LS,74,0.0,32,0,-187.4997,24.93581,-55.81333,0.0,0.0,0.0
LN,1,0.0,0,0,-187.4997,-24.93581,-55.81333,0.0,0.0,0.0
LN,4,240.0,0,0,0.0,0.0,15.1881,0.0,0.0,0.0
LN,64,240.0,32,0,0.0,0.0,-15.1881,0.0,0.0,0.0
LN,74,0.0,32,0,187.4997,-25.06396,55.81333,0.0,0.0,0.0
LSC,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LSC,4,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LSC,61,275.0,0,26,0.0,49.99977,0.0,0.0,0.0,0.0
LSC,64,240.0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
LSC,74,0.0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
LNC,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LNC,4,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LNC,64,240.0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
LNC,74,0.0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
LNC,117,275.0,32,26,0.0,-49.99977,0.0,0.0,0.0,0.0
